tau (s),gamma (Ohms)
0.15606609009592406,7.568442033809571e-05
0.16712765791866765,6.712230538956547e-05
0.17897324155562178,5.853580200647274e-05
0.19165841005511475,5.014470715244772e-05
0.20524267105839136,4.215610916127863e-05
0.2197897499570689,3.4754425989683964e-05
0.23536788883656368,2.8093727484444067e-05
0.25205016660786855,2.2293830433174613e-05
0.269914841829457,1.7441597900414913e-05
0.2890457198275323,1.359825168267579e-05
0.30953254583682627,1.0812381873171718e-05
0.3314714260062223,9.136938159635171e-06
0.3549652782441803,8.647121683123581e-06
0.38012431501894556,9.455074943469748e-06
0.4070665603784066,1.171686135912324e-05
0.43591840361500755,1.562765162363641e-05
0.46681519217302114,2.1402431294713274e-05
0.4999018665795838,2.9241922254375638e-05
0.5353336403780278,3.928655906900864e-05
0.573276728253159,5.156477223007168e-05
0.6139091257642099,6.59447051580469e-05
0.6574214443432705,8.209988850394399e-05
0.7040178054762986,9.94985177494194e-05
0.7539167982613995,0.00011742252960160423
0.8073525048364066,0.0001350171116450323
0.8645755984861614,0.00015136485477959045
0.9258545195808462,0.00016557320286556587
0.991476734861839,0.0001768608314018387
1.061750085982547,0.00018462906852612253
1.1370042336303872,0.0001885083210167999
1.2175922040044715,0.00018837543706952623
1.3038920449036797,0.00018434411230443666
1.3963085991940665,0.00017673497288455005
1.4952754039751208,0.00016603375549483694
1.6012567243541054,0.0001528450735964062
1.714749731369153,0.00013784663161886982
1.8362868342780134,0.000121745900945104
1.9664381781535045,0.00010523946176794239
2.1058143185021723,8.897497696531395e-05
2.255069085453148,7.351678516498857e-05
2.4149026509533873,5.9317491919003126e-05
2.5860648133579587,4.669872884846703e-05
2.7693585148237183,3.5843845731884483e-05
2.9656436080069177,2.6803706758095882e-05
3.1758408897347588,1.951451590629343e-05
3.400936420573344,1.3824474275181384e-05
3.6419861505556197,9.524748438318478e-06
3.9001208727691545,6.380033965777454e-06
4.176551528041667,4.15485702909433e-06
4.472574885609105,2.6332926040067806e-06
4.789579626415119,1.6315015776076865e-06
5.129052857579298,1.0039836815399653e-06
5.492587088594378,6.454731919693736e-07
5.881887701978561,4.909359637547293e-07
6.298780953428696,5.162769149194816e-07
6.745222539003978,7.423235579564847e-07
7.2233067695298505,1.2445937201132568e-06
7.735276395260395,2.1714043332892914e-06
8.283533126887695,3.7730622961103993e-06
8.870648902253734,6.4451126521095265e-06
9.499377951618131,1.0788671602787148e-05
10.172669718081412,1.7690319265995326e-05
10.893682693775034,2.8422225195038598e-05
11.665799236725395,4.47593050957768e-05
12.492641437899513,6.91034568986035e-05
13.378088112866555,0.0001045949404829936
14.326292997785261,0.00015517847124452616
15.341704235076467,0.00022557907506144833
16.42908524019084,0.00032113480225653284
17.593537047359927,0.000447436313542923
18.840522239157288,0.0006097435171768696
20.175890572126097,0.0008121905751090905
21.6059064186861,0.0010568505174429316
23.13727815405321,0.0013427989143722063
24.77718962602919,0.0016653738475574222
26.53333385529035,0.002015853634990649
28.413949124266498,0.0023817440301370342
30.427857623908462,0.002747774182255883
32.584506839639985,0.003097555328332817
34.894013870640784,0.0034156879145798456
37.36721289036775,0.0036899557383216677
40.01570597095727,0.003913165615090766
42.85191750993196,0.004084210544496112
45.88915251453416,0.0042080605113101145
49.141659017104644,0.004294595372063058
52.62469491430532,0.004356441818496566
56.354599543735134,0.004406202771737775
60.348870333715546,0.004453618609641379
64.62624488581761,0.004503238915055498
69.20678887518997,0.0045530998502122935
74.11199018103872,0.004594711229871134
79.36485968883645,0.004614396812474094
84.99003923713569,0.00459575427666931
91.013917215378,0.00452276622957916
97.46475235498274,0.004382952859596503
104.37280629443194,0.004169944970933788
111.77048554023325,0.0038849794636643662
119.69249348971414,0.003537051501012917
128.17599322880568,0.003141743814192599
137.26078186851947,0.002719024100556706
146.98947723795092,0.0022904911549511096
157.4077178096082,0.001876617751342748
168.56437679493982,0.0014944770608692126
180.51179141441125,0.001156278258105791
193.30600841765803,0.0008688281390236551
207.00704700548692,0.0006338367680898935
221.67918038711852,0.0004488420676214013
237.39123729349222,0.0003084634148531572
254.2169248610674,0.00020570526078559942
272.23517440080866,0.00013309725969677666
291.53051167439696,8.354782413105491e-05
312.19345341467766,5.087585366957873e-05
334.3209319504733,3.005199349082444e-05
358.01674992771694,1.7218659099981255e-05
383.3920672600708,9.569147888706595e-06
410.5659225933636,5.158004552275374e-06
439.6657917301027,2.6965834850969915e-06
470.8281856336964,1.36729099744272e-06
504.1992908176959,6.72381684349648e-07
539.9356551241981,3.206807393655792e-07
578.2049221084793,1.483294167488367e-07
619.18661747495,6.653885487812963e-08
663.0729912536792,2.8947689008681078e-08
710.069919668264,1.2213510658300224e-08
760.3978709257933,4.997503914045361e-09
814.2929394595529,1.9831251776423127e-09
872.0079534762245,7.631855334143456e-10
933.8136610032134,2.8483414826402145e-10
1000.0,1.0309438613870737e-10
